clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,ties,waiversSequence,wildcardSequence,winPctg,wins,team_name,team_abbrev
p,W,1,2,Western,1,1,2026-04-17,C,1,1,Central,1,1,2,82,99,1.207317,203,302,3.682927,41,49,108,157,9,6,58,25,25,0,26,10,14,20,34,2,1,15,6,6,0,7,3,4,1,1,16,11,{'default': 'Colorado'},0.737805,121,0.621951,51,0.585366,48,41,50,95,145,7,5,63,26,23,0,29,20252026,6,4,W,3,0,32,0,0.670732,55,Avalanche,COL
z,E,1,2,Eastern,3,1,2026-04-17,M,1,2,Metropolitan,1,1,2,82,56,0.682927,240,296,3.609756,41,35,126,161,10,2,60,27,20,0,29,10,12,27,39,2,1,15,7,6,0,7,1,3,5,2,22,7,"{'default': 'Carolina', 'fr': 'Caroline'}",0.689024,113,0.585366,48,0.47561,39,41,21,114,135,12,5,53,21,19,0,24,20252026,4,5,W,1,0,31,0,0.646341,53,Hurricanes,CAR
x,W,2,3,Western,2,2,2026-04-17,C,2,2,Central,2,2,2,82,53,0.646341,226,279,3.402439,41,23,112,135,11,4,56,24,19,0,26,10,6,28,34,2,1,15,6,5,0,7,5,5,2,3,20,12,{'default': 'Dallas'},0.682927,112,0.536585,44,0.463415,38,41,30,114,144,9,8,56,20,19,0,24,20252026,4,6,W,5,0,30,0,0.609756,50,Stars,DAL
y,E,3,6,Eastern,4,2,2026-04-17,A,2,3,Atlantic,3,1,2,82,47,0.573171,241,288,3.512195,41,30,119,149,10,5,57,22,22,0,26,10,4,30,34,3,1,13,5,5,0,6,4,12,6,4,23,9,{'default': 'Buffalo'},0.664634,109,0.54878,45,0.512195,42,41,17,122,139,13,4,52,23,20,0,24,20252026,1,5,OT,1,0,29,0,0.609756,50,Sabres,BUF
x,E,5,12,Eastern,2,3,2026-04-17,A,3,6,Atlantic,2,2,2,82,59,0.719512,231,290,3.536585,41,22,115,137,14,1,53,24,19,0,26,10,-4,30,26,5,0,10,5,4,0,5,8,21,4,5,26,6,{'default': 'Tampa Bay'},0.646341,106,0.560976,46,0.487805,40,41,37,116,153,12,5,53,22,21,0,24,20252026,2,4,L,1,0,28,0,0.609756,50,Lightning,TBL
x,E,7,3,Eastern,1,4,2026-04-17,A,5,1,Atlantic,1,3,2,82,27,0.329268,256,283,3.45122,41,10,127,137,15,2,50,22,17,0,24,10,4,24,28,3,0,14,5,5,0,7,12,7,3,6,24,10,{'default': 'Montréal'},0.646341,106,0.536585,44,0.414634,34,41,17,129,146,9,8,56,22,17,0,24,20252026,5,4,L,1,0,27,0,0.585366,48,Canadiens,MTL
x,W,3,7,Western,4,3,2026-04-17,C,3,4,Central,3,3,2,82,32,0.390244,240,272,3.317073,41,15,115,130,10,8,54,19,14,0,23,10,4,32,36,4,0,12,6,6,0,6,7,14,9,7,24,12,{'default': 'Minnesota'},0.634146,104,0.512195,42,0.378049,31,41,17,125,142,14,4,50,23,17,0,23,20252026,5,4,W,1,0,26,0,0.560976,46,Wild,MIN
x,E,2,8,Eastern,13,5,2026-04-17,A,1,4,Atlantic,6,4,2,82,22,0.268293,250,272,3.317073,41,40,105,145,11,1,59,28,23,0,29,10,6,26,32,3,2,12,4,4,0,5,2,16,21,8,27,10,{'default': 'Boston'},0.609756,100,0.5,41,0.402439,33,41,-18,145,127,16,9,41,13,10,0,16,20252026,3,4,W,2,0,25,1,0.54878,45,Bruins,BOS
x,E,6,5,Eastern,7,6,2026-04-17,A,4,2,Atlantic,4,5,2,82,32,0.390244,246,278,3.390244,41,31,108,139,12,6,52,21,21,0,23,10,10,26,36,3,1,13,6,6,0,6,9,10,11,9,27,11,{'default': 'Ottawa'},0.603659,99,0.5,41,0.463415,38,41,1,138,139,15,5,47,20,17,0,21,20252026,1,3,W,1,0,24,2,0.536585,44,Senators,OTT
x,E,10,11,Eastern,5,7,2026-04-17,M,4,6,Metropolitan,2,2,2,82,25,0.304878,268,293,3.573171,41,7,143,150,13,8,48,18,16,0,20,10,6,40,46,5,0,10,5,5,0,5,17,20,8,10,25,16,{'default': 'Pittsburgh'},0.597561,98,0.463415,38,0.414634,34,41,18,125,143,12,8,50,20,18,0,21,20252026,10,3,L,3,0,23,0,0.5,41,Penguins,PIT
